"Name","dataset","seed","rmse","crps","mae","int_score","Runtime"
"wiki_crocodile_random_0.95-02-11","wiki_crocodile_random_0.95","917","1.5502660274505615","0.8589044431505647","1.158360481262207","7.682605743408203","1110"
"wiki_crocodile_random_0.95-01-53","wiki_crocodile_random_0.95","916","1.7748397588729858","0.9878066885853952","1.346774697303772","8.682377815246582","1079"
"wiki_crocodile_random_0.95-01-34","wiki_crocodile_random_0.95","915","1.716192364692688","0.945344910894651","1.254585027694702","8.75827407836914","1107"
"wiki_crocodile_random_0.95-01-16","wiki_crocodile_random_0.95","914","1.842738389968872","1.0434165554950363","1.4504324197769165","8.954642295837402","1101"
"wiki_crocodile_random_0.95-00-58","wiki_crocodile_random_0.95","913","1.9012691974639893","1.0799522263044252","1.5207173824310305","9.006037712097168","1086"
"wiki_crocodile_random_0.8-00-38","wiki_crocodile_random_0.8","917","1.303014874458313","0.6871067511786458","0.8671656847000122","7.291931629180908","1165"
"wiki_crocodile_random_0.8-00-19","wiki_crocodile_random_0.8","916","1.3028069734573364","0.68713820789723","0.8669960498809814","7.288281440734863","1150"
"wiki_crocodile_random_0.8-23-59","wiki_crocodile_random_0.8","915","1.3030048608779907","0.6867705961366821","0.8665825128555298","7.255995273590088","1161"
"wiki_crocodile_random_0.8-23-40","wiki_crocodile_random_0.8","914","1.3550585508346558","0.7178006634309766","0.9030648469924928","7.645256042480469","1143"
"wiki_crocodile_random_0.8-23-21","wiki_crocodile_random_0.8","913","1.303718328475952","0.6896095686671123","0.8706691861152649","7.253768444061279","1124"
"wiki_crocodile_random_0.6-23-02","wiki_crocodile_random_0.6","917","1.2436760663986206","0.6544701272891082","0.8133475184440613","7.21981954574585","1155"
"wiki_crocodile_random_0.6-22-43","wiki_crocodile_random_0.6","916","1.2437584400177002","0.6546088753422399","0.813218355178833","7.224738597869873","1160"
"wiki_crocodile_random_0.6-22-23","wiki_crocodile_random_0.6","915","1.2428221702575684","0.6540288310313772","0.812523603439331","7.195616245269775","1180"
"wiki_crocodile_random_0.6-22-04","wiki_crocodile_random_0.6","914","1.244275450706482","0.6555757235901222","0.8137834668159485","7.257233619689941","1146"
"wiki_crocodile_random_0.6-21-44","wiki_crocodile_random_0.6","913","1.2457748651504517","0.6563458316289517","0.8158275485038757","7.266273021697998","1171"
"wiki_crocodile_random_0.4-21-26","wiki_crocodile_random_0.4","917","1.2680456638336182","0.6727459609009322","0.8329801559448242","7.327176094055176","1095"
"wiki_crocodile_random_0.4-21-07","wiki_crocodile_random_0.4","916","1.200801968574524","0.6332799219691598","0.7860273122787476","6.992893695831299","1129"
"wiki_crocodile_random_0.4-20-49","wiki_crocodile_random_0.4","915","1.2658995389938354","0.6716736288066418","0.8313083052635193","7.349530220031738","1096"
"wiki_crocodile_random_0.4-20-30","wiki_crocodile_random_0.4","914","1.267133355140686","0.6726927054553603","0.8323827981948853","7.36415958404541","1079"
"wiki_crocodile_random_0.4-20-11","wiki_crocodile_random_0.4","913","1.2018102407455444","0.6343884029579536","0.7875630259513855","7.032151699066162","1144"
"wiki_crocodile_random_0.2-19-53","wiki_crocodile_random_0.2","917","1.2769083976745603","0.6756697154977236","0.8306413888931274","7.506185054779053","1085"
"wiki_crocodile_random_0.2-19-35","wiki_crocodile_random_0.2","916","1.2218488454818726","0.6437128629186933","0.7949713468551636","7.1974663734436035","1096"
"wiki_crocodile_random_0.2-19-16","wiki_crocodile_random_0.2","915","1.2759371995925903","0.6747792185196323","0.8295889496803284","7.4798407554626465","1104"
"wiki_crocodile_random_0.2-18-58","wiki_crocodile_random_0.2","914","1.2766478061676023","0.6757815600626537","0.8302775025367737","7.540113925933838","1102"
"wiki_crocodile_random_0.2-18-38","wiki_crocodile_random_0.2","913","1.223475694656372","0.6444971276954402","0.79604172706604","7.226715087890625","1159"
"wiki_crocodile_random_0.05-18-19","wiki_crocodile_random_0.05","917","1.131151795387268","0.6108602237672812","0.7399376034736633","6.439788341522217","1152"
"wiki_crocodile_random_0.05-18-01","wiki_crocodile_random_0.05","916","1.1184741258621216","0.596629550236761","0.7389761805534363","6.2268853187561035","1097"
"wiki_crocodile_random_0.05-17-42","wiki_crocodile_random_0.05","915","1.1303516626358032","0.6093260894589201","0.7396172881126404","6.360762596130371","1089"
"wiki_crocodile_random_0.05-17-24","wiki_crocodile_random_0.05","914","1.1188251972198486","0.5971845798580607","0.7392283082008362","6.233203411102295","1084"
"wiki_crocodile_random_0.05-17-05","wiki_crocodile_random_0.05","913","1.1191885471343994","0.5970556576599186","0.7393637895584106","6.213298320770264","1161"
