"Name","dataset","seed","rmse","crps","mae","int_score","Runtime"
"gmrf_prec_mix32_random_0.95-00-49","gmrf_prec_mix32_random_0.95","917","0.02585827000439167","0.015898059254631107","0.020314499735832214","0.17358136177062988","836"
"gmrf_prec_mix32_random_0.95-00-35","gmrf_prec_mix32_random_0.95","916","0.025906965136528015","0.015921428598931007","0.020337671041488647","0.17369091510772705","833"
"gmrf_prec_mix32_random_0.95-00-21","gmrf_prec_mix32_random_0.95","915","0.025840185582637787","0.015923517689387167","0.02030525542795658","0.17426154017448425","841"
"gmrf_prec_mix32_random_0.95-00-07","gmrf_prec_mix32_random_0.95","914","0.02594825066626072","0.015966142739522588","0.020358525216579437","0.17448650300502777","844"
"gmrf_prec_mix32_random_0.95-23-52","gmrf_prec_mix32_random_0.95","913","0.02578507550060749","0.01589876183090923","0.020282121375203133","0.17420636117458344","845"
"gmrf_prec_mix32_random_0.8-23-38","gmrf_prec_mix32_random_0.8","917","0.016488883644342422","0.009547752898795508","0.0131653044372797","0.08834196627140045","845"
"gmrf_prec_mix32_random_0.8-23-24","gmrf_prec_mix32_random_0.8","916","0.01647423580288887","0.009539581888431","0.013153272680938244","0.08861969411373138","862"
"gmrf_prec_mix32_random_0.8-23-09","gmrf_prec_mix32_random_0.8","915","0.016488010063767433","0.009557660682595906","0.013165728189051151","0.08891958743333817","836"
"gmrf_prec_mix32_random_0.8-22-55","gmrf_prec_mix32_random_0.8","914","0.01648099161684513","0.009525938783218666","0.013161451555788515","0.08766290545463562","849"
"gmrf_prec_mix32_random_0.8-22-41","gmrf_prec_mix32_random_0.8","913","0.016480065882205963","0.009551769917012192","0.01316078845411539","0.08889960497617722","840"
"gmrf_prec_mix32_random_0.6-22-27","gmrf_prec_mix32_random_0.6","917","0.015680229291319847","0.008902146555569587","0.012461728416383266","0.07501213252544403","839"
"gmrf_prec_mix32_random_0.6-22-13","gmrf_prec_mix32_random_0.6","916","0.01570015959441662","0.008920132421411833","0.012485167011618614","0.0753089115023613","835"
"gmrf_prec_mix32_random_0.6-21-59","gmrf_prec_mix32_random_0.6","915","0.015697984024882317","0.008918620439243371","0.012482504360377789","0.0752401202917099","839"
"gmrf_prec_mix32_random_0.6-21-45","gmrf_prec_mix32_random_0.6","914","0.015691883862018585","0.008905566738862317","0.012476719915866852","0.07461608201265335","857"
"gmrf_prec_mix32_random_0.6-21-30","gmrf_prec_mix32_random_0.6","913","0.015696516260504723","0.008916072341676828","0.0124822948127985","0.0753018781542778","846"
"gmrf_prec_mix32_random_0.4-21-16","gmrf_prec_mix32_random_0.4","917","0.015635408461093903","0.008847992110363738","0.012425226159393787","0.07331901788711548","849"
"gmrf_prec_mix32_random_0.4-21-02","gmrf_prec_mix32_random_0.4","916","0.01565387286245823","0.00886560628659446","0.012449282221496103","0.07348193973302841","838"
"gmrf_prec_mix32_random_0.4-20-48","gmrf_prec_mix32_random_0.4","915","0.015649985522031784","0.008860814944869434","0.012446087785065174","0.07324399799108505","846"
"gmrf_prec_mix32_random_0.4-20-34","gmrf_prec_mix32_random_0.4","914","0.015645887702703476","0.008852936664218358","0.01243838667869568","0.07342652976512909","834"
"gmrf_prec_mix32_random_0.4-20-20","gmrf_prec_mix32_random_0.4","913","0.015651613473892212","0.008863363204232583","0.0124472351744771","0.07364009320735931","849"
"gmrf_prec_mix32_random_0.2-20-06","gmrf_prec_mix32_random_0.2","917","0.015375878661870956","0.008695802527613478","0.01222469750791788","0.07342104613780975","838"
"gmrf_prec_mix32_random_0.2-19-52","gmrf_prec_mix32_random_0.2","916","0.015404426492750645","0.008720128062530908","0.012257744558155537","0.0729493498802185","839"
"gmrf_prec_mix32_random_0.2-19-37","gmrf_prec_mix32_random_0.2","915","0.015398812480270864","0.008712537877465166","0.01225233357399702","0.07354030013084412","840"
"gmrf_prec_mix32_random_0.2-19-23","gmrf_prec_mix32_random_0.2","914","0.015393678098917007","0.008700932548129309","0.01224599312990904","0.07292578369379044","840"
"gmrf_prec_mix32_random_0.2-19-09","gmrf_prec_mix32_random_0.2","913","0.015400209464132786","0.008714490790683978","0.012253493070602415","0.07327210158109665","833"
"gmrf_prec_mix32_random_0.05-18-55","gmrf_prec_mix32_random_0.05","917","0.01514475978910923","0.008545784147743436","0.011975846253335476","0.07450681924819946","837"
"gmrf_prec_mix32_random_0.05-18-41","gmrf_prec_mix32_random_0.05","916","0.015194661915302277","0.00858084451536234","0.012051628902554512","0.0734432265162468","835"
"gmrf_prec_mix32_random_0.05-18-27","gmrf_prec_mix32_random_0.05","915","0.015190093778073788","0.00858235115799057","0.012044932693243028","0.07401276379823685","842"
"gmrf_prec_mix32_random_0.05-18-13","gmrf_prec_mix32_random_0.05","914","0.015123892575502396","0.008538500126103177","0.011961927637457848","0.07390258461236954","841"
"gmrf_prec_mix32_random_0.05-17-59","gmrf_prec_mix32_random_0.05","913","0.015190858393907549","0.008595878785746034","0.012045619077980518","0.07596314698457718","831"
